epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,3087.96,0.86617,0.54402,1.21903,0.91574,0.83016,0.92131,0.55867,1.53954,0.96115,2.16678,0.0006437,0.0006437,0.0006437
139,3111.75,0.86111,0.52648,1.21501,0.92955,0.82467,0.92876,0.57866,1.4037,1.01236,1.9762,0.0006338,0.0006338,0.0006338
140,3135.69,0.84014,0.50333,1.19913,0.90122,0.88702,0.93902,0.60182,1.38989,0.87048,1.99954,0.0006239,0.0006239,0.0006239
141,3159.47,0.85865,0.51677,1.22876,0.88857,0.91667,0.94174,0.60446,1.41487,0.85837,2.04607,0.000614,0.000614,0.000614
142,3183.43,0.86144,0.52031,1.2102,0.94511,0.80556,0.93405,0.58959,1.52361,0.94971,2.11656,0.0006041,0.0006041,0.0006041
143,3207.2,0.8238,0.51507,1.18272,0.95372,0.79167,0.93166,0.59599,1.49794,0.97465,2.0777,0.0005942,0.0005942,0.0005942
144,3231.13,0.83373,0.48854,1.18916,0.90634,0.8736,0.93076,0.58372,1.50766,0.9328,2.12194,0.0005843,0.0005843,0.0005843
145,3254.95,0.83129,0.52082,1.1951,0.93751,0.83347,0.93191,0.58841,1.43174,0.97404,2.02886,0.0005744,0.0005744,0.0005744
146,3278.73,0.79551,0.50556,1.18137,0.92528,0.85995,0.93379,0.58109,1.43491,0.92829,2.05211,0.0005645,0.0005645,0.0005645
147,3302.65,0.85354,0.50719,1.2293,0.93106,0.86806,0.94067,0.57401,1.44193,0.8649,2.06263,0.0005546,0.0005546,0.0005546
148,3326.56,0.82937,0.4953,1.18467,0.92457,0.88194,0.93684,0.58824,1.43706,0.83654,2.07621,0.0005447,0.0005447,0.0005447
149,3350.37,0.83224,0.50705,1.21108,0.89365,0.86806,0.9098,0.57237,1.45004,0.8734,2.12341,0.0005348,0.0005348,0.0005348
150,3374.29,0.83046,0.52215,1.20442,0.94425,0.82332,0.94059,0.58433,1.47419,0.89022,2.12479,0.0005249,0.0005249,0.0005249
151,3398.26,0.82804,0.50766,1.20162,0.91471,0.86806,0.9494,0.59017,1.46831,0.82089,2.09848,0.000515,0.000515,0.000515
152,3422.27,0.82158,0.48831,1.18424,0.94226,0.79325,0.92807,0.5917,1.46295,0.92487,2.07476,0.0005051,0.0005051,0.0005051
153,3446.24,0.81508,0.49707,1.18971,0.93705,0.79861,0.9341,0.59192,1.41753,0.84362,2.03133,0.0004952,0.0004952,0.0004952
154,3470.15,0.80383,0.49407,1.18731,0.86167,0.90844,0.94969,0.58245,1.43883,0.8182,2.09776,0.0004853,0.0004853,0.0004853
155,3494.97,0.80132,0.49145,1.18392,0.9084,0.89533,0.95019,0.59995,1.4351,0.85371,2.08925,0.0004754,0.0004754,0.0004754
156,3520.17,0.80496,0.47796,1.17211,0.90497,0.85968,0.92468,0.59206,1.41923,0.92449,2.06436,0.0004655,0.0004655,0.0004655
157,3544.49,0.78474,0.47393,1.17811,0.89168,0.86806,0.9262,0.58625,1.42633,0.94676,2.06834,0.0004556,0.0004556,0.0004556
158,3569.19,0.83127,0.5043,1.20949,0.9205,0.81944,0.90514,0.56487,1.45665,1.01054,2.10578,0.0004457,0.0004457,0.0004457
159,3593.68,0.78924,0.49528,1.14799,0.96572,0.78244,0.91654,0.57977,1.40211,1.01929,2.04814,0.0004358,0.0004358,0.0004358
160,3617.64,0.82131,0.48908,1.19639,0.92649,0.79861,0.90304,0.58052,1.45036,1.02865,2.08884,0.0004259,0.0004259,0.0004259
161,3641.37,0.79393,0.49062,1.17765,0.91886,0.86507,0.93716,0.57673,1.52012,0.8643,2.12863,0.000416,0.000416,0.000416
162,3665.33,0.78765,0.50244,1.16263,0.90997,0.84231,0.93109,0.57556,1.48056,0.85281,2.08583,0.0004061,0.0004061,0.0004061
163,3689.19,0.79567,0.46134,1.16624,0.904,0.875,0.93127,0.57686,1.47122,0.85023,2.06835,0.0003962,0.0003962,0.0003962
164,3713.05,0.80589,0.48685,1.20139,0.90476,0.89583,0.92995,0.58463,1.43373,0.90062,2.01132,0.0003863,0.0003863,0.0003863
165,3736.99,0.79204,0.47796,1.19175,0.91102,0.85417,0.92353,0.58807,1.43604,0.88799,2.03036,0.0003764,0.0003764,0.0003764
166,3760.82,0.76315,0.47372,1.16747,0.90529,0.85417,0.91241,0.58574,1.4245,0.94551,2.01313,0.0003665,0.0003665,0.0003665
167,3784.72,0.78199,0.46796,1.16925,0.8899,0.86111,0.92856,0.58952,1.47829,0.91741,2.10594,0.0003566,0.0003566,0.0003566
168,3808.63,0.79164,0.4808,1.17834,0.87625,0.83592,0.90912,0.58604,1.45549,0.95873,2.07705,0.0003467,0.0003467,0.0003467
169,3832.44,0.75881,0.47231,1.16007,0.89943,0.80744,0.92069,0.60336,1.46102,0.94439,2.06427,0.0003368,0.0003368,0.0003368
170,3856.36,0.77461,0.46897,1.15294,0.92478,0.76844,0.90869,0.58984,1.43868,0.98441,2.02752,0.0003269,0.0003269,0.0003269
171,3880.16,0.79201,0.48571,1.19104,0.93861,0.77083,0.90511,0.56768,1.48476,0.99806,2.10597,0.000317,0.000317,0.000317
172,3904.02,0.74453,0.45253,1.13406,0.89809,0.82639,0.9233,0.58017,1.46523,0.88045,2.07914,0.0003071,0.0003071,0.0003071
173,3927.84,0.78753,0.47832,1.16678,0.91563,0.83333,0.93593,0.57809,1.45902,0.8845,2.10424,0.0002972,0.0002972,0.0002972
174,3951.75,0.77461,0.47671,1.16642,0.96822,0.75694,0.91684,0.58318,1.39353,0.93327,2.01074,0.0002873,0.0002873,0.0002873
175,3975.96,0.7748,0.47559,1.16797,0.9678,0.75694,0.91723,0.58741,1.40431,0.93646,2.00994,0.0002774,0.0002774,0.0002774
176,4000.54,0.76468,0.4718,1.18077,0.95883,0.79167,0.92624,0.5865,1.39926,0.88628,2.01719,0.0002675,0.0002675,0.0002675
177,4024.6,0.73518,0.46943,1.15322,0.92635,0.80556,0.92158,0.58279,1.40197,0.89804,2.01259,0.0002576,0.0002576,0.0002576
178,4048.61,0.77566,0.47506,1.17603,0.95054,0.80075,0.91345,0.57993,1.37631,0.88469,1.98618,0.0002477,0.0002477,0.0002477
179,4072.57,0.72609,0.44644,1.13532,0.90104,0.84028,0.93039,0.58579,1.41305,0.88485,2.02504,0.0002378,0.0002378,0.0002378
180,4096.54,0.78924,0.46617,1.16935,0.90367,0.84686,0.93355,0.59835,1.40355,0.84067,2.04974,0.0002279,0.0002279,0.0002279
181,4120.51,0.75499,0.44031,1.17176,0.86817,0.8689,0.92902,0.57906,1.43207,0.82963,2.10101,0.000218,0.000218,0.000218
182,4144.52,0.75798,0.46503,1.14715,0.88142,0.90278,0.93749,0.56988,1.47381,0.80321,2.1605,0.0002081,0.0002081,0.0002081
